,price
0,2900.0
1,6550.0
2,1800.0
3,1895.0
4,3225.0
5,2630.0
6,3268.0
7,3330.0
8,3255.0
9,3245.0
10,2895.0
11,5015.0
12,3025.0
13,3280.0
14,3176.0
15,3465.0
16,3100.0
17,2945.0
18,3158.0
19,2495.0
20,4600.0
21,2500.0
22,2430.0
23,3355.0
24,2930.0
25,2905.0
26,3020.0
27,4301.0
28,4165.0
29,7500.0
30,4368.0
31,2520.0
32,4655.0
33,3698.0
34,4530.0
35,2735.0
36,4450.0
37,2595.0
38,3440.0
39,3225.0
40,3722.0
41,4760.0
42,4650.0
43,4114.0
44,2575.0
45,3200.0
46,4640.0
47,2095.0
48,5995.0
49,4995.0
50,3550.0
51,2875.0
52,3650.0
53,3750.0
54,3450.0
55,2975.0
56,5395.0
57,3900.0
58,3500.0
59,3544.0
60,3300.0
61,5900.0
62,3100.0
63,4650.0
64,3500.0
65,5999.0
66,3116.0
67,2416.0
68,4300.0
69,3800.0
70,2400.0
71,13000.0
72,5195.0
73,3895.0
74,5815.0
75,2050.0
76,9500.0
77,5400.0
78,7800.0
79,12000.0
80,10000.0
81,4200.0
82,3350.0
84,3995.0
85,15000.0
86,4100.0
88,3800.0
89,4800.0
90,9500.0
91,6995.0
92,2200.0
93,4995.0
94,6035.0
95,4600.0
96,2815.0
97,2675.0
98,8650.0
99,3300.0
100,13800.0
101,1500.0
102,2175.0
103,3950.0
104,13750.0
105,7500.0
106,2550.0
107,2400.0
108,2300.0
109,3750.0
110,10450.0
112,2150.0
113,5000.0
114,2999.0
115,2954.0
116,2245.0
117,2799.0
118,3200.0
119,3350.0
120,3800.0
121,4000.0
122,2400.0
123,3035.0
124,4450.0
125,5100.0
126,5800.0
127,4000.0
128,3600.0
129,2900.0
130,3950.0
131,1595.0
132,3100.0
133,1325.0
134,3000.0
135,2750.0
136,2000.0
137,1800.0
138,1800.0
139,4350.0
140,3310.0
141,3850.0
142,2599.0
143,2950.0
144,7000.0
145,3000.0
146,5950.0
147,3284.0
148,4171.0
149,7500.0
150,4995.0
152,1850.0
153,2000.0
154,1850.0
155,9995.0
156,1800.0
157,1800.0
158,1850.0
159,2950.0
160,5000.0
161,4250.0
162,10450.0
163,3100.0
164,1800.0
165,3647.0
166,9036.0
167,3000.0
168,3400.0
169,6200.0
170,3820.0
171,2550.0
172,4400.0
173,4000.0
174,4000.0
175,2000.0
176,3995.0
177,2300.0
178,4000.0
179,3395.0
180,3858.0
181,2795.0
182,2123.0
183,3095.0
184,4250.0
185,2150.0
186,2650.0
187,4900.0
188,2500.0
189,19000.0
190,1800.0
191,2600.0
192,2375.0
193,5000.0
194,10500.0
195,3800.0
196,2700.0
197,3000.0
198,3800.0
199,3495.0
200,2100.0
201,13000.0
202,5800.0
203,7150.0
204,2550.0
205,3600.0
206,2695.0
207,1950.0
208,4295.0
209,2700.0
210,1650.0
211,2100.0
212,2697.0
213,3000.0
214,1750.0
215,2950.0
216,1650.0
217,2375.0
218,3150.0
219,2850.0
220,2650.0
221,3500.0
222,1800.0
223,1500.0
224,4995.0
225,2266.0
226,2585.0
227,2650.0
228,1900.0
229,3333.0
230,6495.0
231,8995.0
232,2300.0
233,3095.0
234,3600.0
235,1950.0
236,10000.0
237,1600.0
238,2833.0
239,2100.0
240,1700.0
241,2450.0
242,2500.0
243,3600.0
244,5495.0
245,3100.0
246,3795.0
247,3208.0
248,2000.0
249,3300.0
250,1895.0
251,1900.0
252,3300.0
253,2100.0
254,18500.0
255,2500.0
256,4275.0
257,2950.0
258,2099.0
259,4095.0
260,2950.0
261,3200.0
262,2850.0
263,2400.0
264,3550.0
265,3750.0
266,1750.0
267,3200.0
268,3800.0
269,4375.0
270,2550.0
271,1834.0
272,3100.0
273,3100.0
274,5100.0
275,4300.0
276,2395.0
277,3275.0
278,1875.0
279,1500.0
280,3200.0
282,1800.0
283,2100.0
284,8500.0
285,2995.0
286,2750.0
287,4200.0
288,4200.0
289,4000.0
290,2695.0
291,4750.0
292,2450.0
293,2375.0
294,3400.0
295,4800.0
296,2200.0
297,1495.0
298,1833.0
299,2475.0
300,3025.0
301,2200.0
302,2800.0
303,2995.0
304,4250.0
305,2595.0
306,3210.0
307,2495.0
308,2999.0
309,2295.0
310,3388.0
311,3000.0
312,1700.0
313,2750.0
314,3350.0
315,1945.0
316,4195.0
317,1999.0
318,4200.0
319,3100.0
320,3100.0
321,2950.0
322,3395.0
323,8000.0
324,1850.0
325,3500.0
326,3000.0
327,2700.0
328,1750.0
329,3000.0
330,3250.0
331,3000.0
332,3650.0
333,4000.0
334,5020.0
335,3295.0
336,2100.0
337,3999.0
338,3450.0
339,2500.0
340,4000.0
341,2245.0
342,3167.0
343,2799.0
344,2350.0
345,4200.0
346,4720.0
347,1850.0
348,2250.0
349,2850.0
350,3300.0
351,3995.0
352,2200.0
353,2974.0
354,2800.0
355,11500.0
356,2187.0
357,2550.0
358,6000.0
359,5600.0
360,2670.0
361,2750.0
362,1275.0
363,2895.0
364,3395.0
365,3395.0
366,2095.0
367,3050.0
368,2250.0
369,3895.0
370,3195.0
371,3900.0
372,3600.0
373,3495.0
374,3495.0
375,3525.0
376,2700.0
377,2980.0
378,2800.0
379,2600.0
380,2895.0
381,1550.0
382,3100.0
383,2291.0
384,3595.0
385,2000.0
386,2875.0
387,3300.0
388,4424.0
389,2100.0
390,2649.0
391,1825.0
392,14995.0
393,4100.0
394,2450.0
395,2300.0
396,2575.0
397,3400.0
398,2325.0
399,3600.0
400,2399.0
401,2000.0
402,2595.0
403,2400.0
404,2250.0
405,2795.0
406,4500.0
407,2995.0
408,4795.0
409,2450.0
410,2450.0
411,5500.0
412,3795.0
413,1725.0
414,2000.0
415,3300.0
416,3150.0
417,1800.0
418,3067.0
419,3640.0
420,1595.0
421,2995.0
422,2500.0
423,2700.0
424,3300.0
425,3650.0
426,3650.0
427,3400.0
428,1999.0
429,2600.0
430,4013.0
431,1950.0
432,3400.0
433,1875.0
434,4000.0
435,4250.0
436,2395.0
437,3300.0
438,2895.0
439,6155.0
440,3500.0
441,1675.0
442,3150.0
443,2686.0
444,1975.0
445,1795.0
446,2195.0
447,3485.0
448,2450.0
449,3200.0
450,3300.0
451,2575.0
452,2550.0
453,2100.0
454,3000.0
455,2154.0
456,3077.0
457,1850.0
458,2199.0
459,3600.0
460,3500.0
461,1500.0
462,2099.0
463,3469.0
464,2200.0
465,2200.0
466,1900.0
467,2775.0
468,2850.0
469,2400.0
470,3575.0
471,2495.0
472,1725.0
473,3000.0
474,1750.0
475,3000.0
476,4000.0
477,2100.0
478,4500.0
479,1995.0
480,2445.0
481,7500.0
482,3149.0
483,3275.0
484,2500.0
485,5990.0
486,2795.0
487,3900.0
488,7250.0
489,2975.0
490,4500.0
491,3250.0
492,2300.0
493,2500.0
494,5300.0
495,3200.0
496,8750.0
497,2595.0
498,3095.0
499,2750.0
500,2550.0
501,2566.0
502,3650.0
503,2995.0
504,4795.0
505,3450.0
506,2550.0
507,2700.0
508,3900.0
509,4917.0
510,1950.0
511,2250.0
512,5440.0
513,3200.0
514,1500.0
515,2350.0
516,4500.0
517,1800.0
518,1250.0
519,2850.0
520,4995.0
521,2644.0
522,3116.0
523,2644.0
524,2927.0
525,3400.0
526,2644.0
527,3135.0
528,2350.0
529,2350.0
530,2940.0
531,4400.0
532,2200.0
533,3800.0
534,2795.0
535,4900.0
536,2550.0
537,2000.0
538,3000.0
539,3000.0
540,2300.0
541,2800.0
542,2650.0
543,2650.0
544,2300.0
545,2400.0
546,5500.0
547,3874.0
548,2500.0
549,2100.0
550,3000.0
551,3000.0
552,2650.0
554,2050.0
555,2245.0
556,2950.0
557,3100.0
558,4003.0
559,2095.0
560,1650.0
561,4558.0
562,3457.0
563,2245.0
564,1575.0
565,1900.0
566,5495.0
567,2700.0
568,2900.0
569,3790.0
570,15860.0
571,2450.0
572,1700.0
573,4195.0
574,8700.0
575,3375.0
576,2250.0
577,2875.0
578,4360.0
579,2406.0
580,4400.0
581,2000.0
582,2500.0
583,8300.0
584,2850.0
585,1200.0
586,2795.0
587,2025.0
588,3070.0
589,2950.0
590,2400.0
591,2695.0
592,4475.0
593,2350.0
594,2200.0
595,2600.0
596,2600.0
597,2800.0
598,3300.0
599,2950.0
600,3300.0
601,1675.0
602,1925.0
603,1250.0
604,4500.0
605,2800.0
606,5737.0
607,3350.0
608,2615.0
609,4295.0
610,2520.0
611,2895.0
612,2875.0
613,2000.0
614,2250.0
615,2375.0
616,2400.0
617,1675.0
618,3950.0
619,2900.0
620,2275.0
621,2325.0
622,1895.0
623,2790.0
624,2000.0
625,2800.0
626,1350.0
627,11000.0
628,2900.0
629,2800.0
630,2995.0
631,3340.0
632,3050.0
633,2950.0
634,1995.0
635,3100.0
636,3000.0
637,1950.0
638,1995.0
639,2600.0
640,1699.0
641,2200.0
642,3589.0
643,1200.0
644,2050.0
645,1800.0
646,6320.0
647,1325.0
648,6500.0
649,3000.0
650,2100.0
651,2700.0
652,2795.0
653,5500.0
654,3692.0
655,1675.0
656,2395.0
657,3800.0
658,2200.0
659,3550.0
660,1850.0
661,5305.0
662,3000.0
663,2000.0
664,3600.0
665,2200.0
666,2920.0
667,2295.0
668,2450.0
669,1550.0
670,1750.0
671,2050.0
672,2429.0
673,3000.0
674,8200.0
675,1800.0
676,3870.0
677,3300.0
678,3550.0
679,1725.0
680,1895.0
681,6500.0
682,2400.0
683,3600.0
684,7500.0
685,1475.0
686,1900.0
687,2195.0
688,3500.0
689,2000.0
690,11500.0
691,5900.0
692,1495.0
693,4500.0
694,3995.0
695,2995.0
696,1875.0
697,2400.0
698,1750.0
699,1950.0
700,2063.0
701,2000.0
702,2500.0
703,11500.0
704,3195.0
705,1700.0
706,1650.0
708,2650.0
709,2450.0
710,1950.0
711,1800.0
712,2150.0
713,4200.0
714,3000.0
715,2979.0
716,2979.0
717,2895.0
718,2500.0
719,2600.0
720,1800.0
721,2100.0
722,1575.0
723,1695.0
724,1799.0
725,2850.0
726,2333.0
727,1850.0
728,1695.0
729,1595.0
730,3570.0
731,3000.0
732,3000.0
733,1895.0
734,2200.0
735,1799.0
736,2300.0
737,3200.0
738,2900.0
739,2525.0
740,2200.0
741,3000.0
742,4000.0
743,2950.0
744,5750.0
745,3300.0
746,3650.0
747,3300.0
748,2350.0
749,3133.0
750,3460.0
751,2500.0
752,2800.0
753,3900.0
754,1999.0
755,3945.0
756,3000.0
757,2500.0
758,2700.0
759,1195.0
760,2495.0
761,3150.0
762,2700.0
763,2800.0
764,2100.0
765,8500.0
766,3740.0
767,3550.0
768,2150.0
769,1400.0
770,1900.0
771,4100.0
772,4026.0
773,1950.0
774,1695.0
775,1575.0
776,3800.0
777,4200.0
778,4000.0
779,2000.0
780,1750.0
781,4000.0
782,3700.0
